name,cluster,LevelNum
NO.109,2,-25403.0,-24879.0,-24987.0,-24835.0,-25079.0,-25355.0,-25153.0,-25021.0
NO.110,3,-20517.0,-20181.0,-20685.0,-20377.0,-20461.0,-20545.0,-20517.0,-20405.0
NO.111,7,-19383.0,-18151.0,-17535.0,-18543.0,-18375.0,-18151.0,-18375.0,-18319.0
NO.112,3,-21519.0,-20667.0,-20523.0,-21061.0,-20895.0,-20753.0,-20929.0,-20849.0
NO.113,1,-3999.0,-4305.0,-4797.0,-4211.0,-4361.0,-4529.0,-4397.0,-4325.0
NO.114,1,-7717.0,-6765.0,-6151.0,-7007.0,-6821.0,-6805.0,-6935.0,-6801.0
NO.115,0,-16485.0,-16401.0,-16233.0,-16429.0,-16373.0,-16317.0,-16345.0,-16401.0
NO.116,3,-21166.0,-21178.0,-21250.0,-21158.0,-21194.0,-21242.0,-21198.0,-21198.0
NO.117,7,-20419.0,-19159.0,-18095.0,-19131.0,-19215.0,-19327.0,-19243.0,-19215.0
NO.118,0,-15673.0,-15673.0,-15561.0,-15813.0,-15589.0,-15505.0,-15645.0,-15617.0
NO.119,3,-21797.0,-21389.0,-21441.0,-21577.0,-21533.0,-21517.0,-21565.0,-21513.0
NO.120,6,-32017.0,-31253.0,-31225.0,-31545.0,-31503.0,-31447.0,-31543.0,-31427.0
NO.121,3,-21114.0,-20832.0,-21252.0,-20924.0,-21078.0,-21196.0,-21108.0,-21012.0
NO.122,0,-16009.0,-16373.0,-16695.0,-16191.0,-16387.0,-16499.0,-16345.0,-16373.0
NO.123,4,-10773.0,-10773.0,-10773.0,-10773.0,-10773.0,-10773.0,-10773.0,-10773.0
NO.124,0,-16936.0,-16628.0,-16712.0,-16684.0,-16768.0,-16824.0,-16768.0,-16740.0
NO.125,7,-19537.0,-19565.0,-20223.0,-19649.0,-19789.0,-19887.0,-19789.0,-19775.0
NO.126,0,-16149.0,-16417.0,-16671.0,-16341.0,-16405.0,-16491.0,-16433.0,-16399.0
NO.127,1,-5518.0,-5330.0,-5084.0,-5308.0,-5314.0,-5310.0,-5302.0,-5316.0
NO.128,8,-13404.0,-12804.0,-13292.0,-12892.0,-13148.0,-13460.0,-13234.0,-13090.0
NO.129,4,-9442.0,-9554.0,-9868.0,-9494.0,-9612.0,-9758.0,-9700.0,-9524.0
NO.130,1,-6220.0,-6808.0,-7430.0,-6614.0,-6810.0,-7034.0,-6838.0,-6810.0
NO.131,1,-7301.0,-7273.0,-7413.0,-7133.0,-7329.0,-7525.0,-7357.0,-7273.0
NO.132,3,-21701.0,-21409.0,-21495.0,-21535.0,-21537.0,-21533.0,-21531.0,-21533.0
NO.133,0,-15869.0,-15785.0,-15757.0,-16037.0,-15729.0,-15645.0,-15813.0,-15785.0
NO.134,0,-16785.0,-16821.0,-17043.0,-16895.0,-16877.0,-16877.0,-16895.0,-16859.0
NO.135,3,-22093.0,-21971.0,-22163.0,-22079.0,-22075.0,-22073.0,-22103.0,-22037.0
NO.136,2,-25806.0,-26310.0,-26842.0,-26240.0,-26324.0,-26394.0,-26296.0,-26324.0
NO.137,1,-4851.0,-5715.0,-6765.0,-5589.0,-5757.0,-5985.0,-5805.0,-5745.0
NO.138,4,-9241.0,-9515.0,-10545.0,-9501.0,-9767.0,-10033.0,-9873.0,-9653.0
NO.139,1,-4900.0,-4956.0,-5012.0,-4872.0,-4984.0,-5012.0,-4928.0,-4956.0
NO.140,3,-22953.0,-22617.0,-23061.0,-22829.0,-22865.0,-22937.0,-22889.0,-22841.0
NO.141,2,-25225.0,-25397.0,-26195.0,-25455.0,-25629.0,-25733.0,-25605.0,-25583.0
NO.142,2,-26029.0,-25931.0,-26291.0,-25949.0,-26103.0,-26199.0,-26103.0,-26045.0
NO.143,3,-21279.0,-21051.0,-21171.0,-21139.0,-21167.0,-21195.0,-21187.0,-21147.0
NO.144,0,-15912.0,-16182.0,-16488.0,-16146.0,-16200.0,-16236.0,-16182.0,-16200.0
NO.145,0,-16858.0,-16628.0,-16998.0,-16854.0,-16852.0,-16778.0,-16816.0,-16814.0
NO.146,7,-18305.0,-18685.0,-19663.0,-18867.0,-18891.0,-18895.0,-18891.0,-18871.0
NO.147,7,-18312.0,-19656.0,-21090.0,-19488.0,-19686.0,-19884.0,-19772.0,-19600.0
NO.148,4,-10449.0,-10625.0,-10679.0,-10877.0,-10547.0,-10329.0,-10577.0,-10595.0
NO.149,3,-21818.0,-20872.0,-20482.0,-21020.0,-21076.0,-21076.0,-21020.0,-21076.0
NO.150,3,-21674.0,-21592.0,-21862.0,-21628.0,-21722.0,-21778.0,-21740.0,-21666.0
NO.151,2,-25031.0,-24519.0,-25243.0,-25171.0,-24949.0,-24673.0,-24953.0,-24891.0
NO.152,3,-21535.0,-21577.0,-21875.0,-21637.0,-21657.0,-21693.0,-21677.0,-21647.0
NO.153,7,-17787.0,-18095.0,-18879.0,-18263.0,-18235.0,-18263.0,-18291.0,-18235.0
NO.154,2,-25447.0,-25703.0,-26879.0,-25875.0,-26041.0,-26113.0,-26001.0,-25987.0
NO.155,1,-5486.0,-7556.0,-9340.0,-7302.0,-7470.0,-7610.0,-7442.0,-7470.0
NO.156,0,-14805.0,-15183.0,-15855.0,-15225.0,-15281.0,-15337.0,-15337.0,-15225.0
NO.157,8,-13438.0,-14642.0,-16054.0,-14550.0,-14736.0,-14848.0,-14812.0,-14624.0
NO.158,1,-5012.0,-4788.0,-4452.0,-4760.0,-4704.0,-4788.0,-4788.0,-4732.0
NO.159,3,-21945.0,-21903.0,-22041.0,-22107.0,-21959.0,-21823.0,-22039.0,-21891.0
NO.160,2,-25363.0,-25135.0,-25045.0,-25361.0,-25159.0,-25023.0,-25237.0,-25113.0
NO.161,3,-22151.0,-22447.0,-22609.0,-22289.0,-22409.0,-22509.0,-22409.0,-22389.0
NO.162,6,-30114.0,-30142.0,-29946.0,-30282.0,-30058.0,-29862.0,-30030.0,-30114.0
NO.163,2,-26187.0,-27039.0,-27903.0,-27043.0,-27043.0,-27043.0,-27083.0,-27003.0
NO.164,3,-21759.0,-22509.0,-23233.0,-22453.0,-22507.0,-22541.0,-22501.0,-22497.0
NO.165,0,-16737.0,-16737.0,-16821.0,-16737.0,-16765.0,-16793.0,-16793.0,-16737.0
NO.166,0,-15901.0,-16191.0,-16441.0,-16279.0,-16191.0,-16063.0,-16191.0,-16171.0
NO.167,4,-11046.0,-10976.0,-10906.0,-11004.0,-10976.0,-10948.0,-10990.0,-10948.0
NO.168,1,-5292.0,-5292.0,-5292.0,-5292.0,-5292.0,-5292.0,-5292.0,-5292.0
NO.169,4,-10477.0,-10973.0,-11409.0,-10875.0,-10963.0,-11021.0,-10981.0,-10925.0
NO.170,0,-16401.0,-16737.0,-16989.0,-16737.0,-16709.0,-16681.0,-16681.0,-16737.0
NO.171,3,-21641.0,-21561.0,-21505.0,-21665.0,-21569.0,-21473.0,-21577.0,-21561.0
NO.172,2,-23668.0,-24518.0,-25214.0,-24286.0,-24498.0,-24616.0,-24440.0,-24480.0
NO.173,3,-21441.0,-21357.0,-21315.0,-21399.0,-21371.0,-21343.0,-21385.0,-21357.0
NO.174,0,-15337.0,-15365.0,-15337.0,-15337.0,-15337.0,-15365.0,-15337.0,-15337.0
