name,cut_shot
2018年1月19日 06時00分,0
2018年1月19日 07時00分,0
2018年1月19日 08時00分,0
2018年1月19日 09時00分,0
2018年1月19日 10時00分,0
2018年1月19日 11時00分,0
2018年1月19日 12時00分,0
2018年1月19日 13時00分,0
2018年1月19日 14時00分,0
2018年1月19日 15時00分,1
2018年1月19日 16時00分,0
2018年1月19日 17時00分,0
2018年1月19日 18時00分,0
2018年1月19日 19時00分,0
2018年1月19日 20時00分,0
2018年1月19日 21時00分,0
2018年1月19日 22時00分,0
2018年1月19日 23時00分,0
2018年1月20日 00時00分,1
2018年1月20日 01時00分,0
2018年1月20日 02時00分,0
2018年1月20日 03時00分,1
2018年1月20日 04時00分,0
2018年1月20日 05時00分,0
2018年1月20日 06時00分,0
2018年1月20日 07時00分,0
2018年1月20日 08時00分,0
2018年1月20日 09時00分,0
2018年1月20日 10時00分,0
2018年1月20日 11時00分,0
2018年1月20日 12時00分,0
2018年1月20日 13時00分,0
2018年1月20日 14時00分,0
2018年1月20日 15時00分,1
2018年1月20日 16時00分,0
2018年1月20日 17時00分,0
2018年1月20日 18時00分,0
2018年1月20日 19時00分,0
2018年1月20日 20時00分,1
2018年1月20日 21時00分,0
2018年1月20日 22時00分,0
2018年1月20日 23時00分,0
2018年1月21日 00時00分,1
2018年1月21日 01時00分,0
2018年1月21日 02時00分,0
2018年1月21日 03時00分,0
2018年1月21日 04時00分,0
2018年1月21日 05時00分,0
2018年1月21日 06時00分,0
2018年1月21日 07時00分,0
2018年1月21日 08時00分,0
2018年1月21日 09時00分,0
2018年1月21日 10時00分,0
2018年1月21日 11時00分,0
2018年1月21日 12時00分,0
2018年1月21日 13時00分,0
2018年1月21日 14時00分,0
2018年1月21日 15時00分,0
2018年1月21日 16時00分,0
2018年1月21日 17時00分,0
2018年1月21日 18時00分,0
2018年1月21日 19時00分,0
2018年1月21日 20時00分,0
2018年1月21日 21時00分,1
2018年1月21日 22時00分,1
2018年1月21日 23時00分,1
2018年1月22日 00時00分,0
2018年1月22日 01時00分,1
2018年1月22日 02時00分,1
2018年1月22日 03時00分,0
2018年1月22日 04時00分,0
2018年1月22日 05時00分,0
2018年1月22日 06時00分,0
2018年1月22日 07時00分,0
2018年1月22日 08時00分,0
2018年1月22日 09時00分,0
2018年1月22日 10時00分,0
2018年1月22日 11時00分,0
2018年1月22日 12時00分,0
2018年1月22日 13時00分,0
2018年1月22日 14時00分,1
2018年1月22日 15時00分,0
2018年1月22日 16時00分,0
2018年1月22日 17時00分,0
2018年1月22日 18時00分,1
2018年1月22日 19時00分,0
2018年1月22日 20時00分,0
2018年1月22日 21時00分,0
2018年1月22日 22時00分,1
2018年1月22日 23時00分,0
2018年1月23日 00時00分,0
2018年1月23日 01時00分,0
2018年1月23日 02時00分,1
2018年1月23日 03時00分,1
2018年1月23日 04時00分,1
2018年1月23日 05時00分,0
2018年1月23日 06時00分,0
2018年1月23日 07時00分,0
2018年1月23日 08時00分,0
2018年1月23日 09時00分,0
2018年1月23日 10時00分,0
2018年1月23日 11時00分,0
2018年1月23日 12時00分,0
2018年1月23日 13時00分,0
2018年1月23日 14時00分,0
2018年1月23日 15時00分,1
2018年1月23日 16時00分,0
2018年1月23日 17時00分,0
2018年1月23日 18時00分,1
2018年1月23日 19時00分,0
2018年1月23日 20時00分,0
2018年1月23日 21時00分,0
2018年1月23日 22時00分,1
2018年1月23日 23時00分,0
2018年1月24日 00時00分,0
2018年1月24日 01時00分,0
2018年1月24日 02時00分,1
2018年1月24日 03時00分,0
2018年1月24日 04時00分,0
2018年1月24日 05時00分,0
2018年1月24日 06時00分,0
2018年1月24日 07時00分,0
2018年1月24日 08時00分,0
2018年1月24日 09時00分,0
2018年1月24日 10時00分,0
2018年1月24日 11時00分,0
2018年1月24日 12時00分,0
2018年1月24日 13時00分,0
2018年1月24日 14時00分,0
2018年1月24日 15時00分,0
2018年1月24日 16時00分,0
2018年1月24日 17時00分,0
